adwaita-fonts 50.0-1
fontconfig 2:2.18.2-1
libfontenc 1.1.9-1
libxfont2 2.0.8-1
noto-fonts 1:2026.08.01-1
noto-fonts-emoji 1:2.051-1
ttf-0xproto-nerd 3.5.0-1
ttf-3270-nerd 3.5.0-1
ttf-adwaitamono-nerd 3.5.0-1
ttf-agave-nerd 3.5.0-1
ttf-anonymouspro-nerd 3.5.0-1
ttf-arimo-nerd 3.5.0-1
ttf-bigblueterminal-nerd 3.5.0-1
ttf-bitstream-vera-mono-nerd 3.5.0-1
ttf-cascadia-code-nerd 3.5.0-1
ttf-cascadia-mono-nerd 3.5.0-1
ttf-cousine-nerd 3.5.0-1
ttf-d2coding-nerd 3.5.0-1
ttf-daddytime-mono-nerd 3.5.0-1
ttf-dejavu-nerd 3.5.0-1
ttf-envycoder-nerd 3.5.0-1
ttf-fantasque-nerd 3.5.0-1
ttf-firacode-nerd 3.5.0-1
ttf-go-nerd 3.5.0-1
ttf-gohu-nerd 3.5.0-1
ttf-hack-nerd 3.5.0-1
ttf-heavydata-nerd 3.5.0-1
ttf-iawriter-nerd 3.5.0-1
ttf-ibmplex-mono-nerd 3.5.0-1
ttf-inconsolata-go-nerd 3.5.0-1
ttf-inconsolata-lgc-nerd 3.5.0-1
ttf-inconsolata-nerd 3.5.0-1
ttf-intone-nerd 3.5.0-1
ttf-iosevka-nerd 3.5.0-1
ttf-iosevkaterm-nerd 3.5.0-1
ttf-iosevkatermslab-nerd 3.5.0-1
ttf-jetbrains-mono-nerd 3.5.0-1
ttf-lekton-nerd 3.5.0-1
ttf-liberation 2.1.5-2
ttf-liberation-mono-nerd 3.5.0-1
ttf-lilex-nerd 3.5.0-1
ttf-martian-mono-nerd 3.5.0-1
ttf-meslo-nerd 3.5.0-1
ttf-monofur-nerd 3.5.0-1
ttf-monoid-nerd 3.5.0-1
ttf-mononoki-nerd 3.5.0-1
ttf-mplus-nerd 3.5.0-1
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-noto-nerd 3.5.0-1
ttf-profont-nerd 3.5.0-1
ttf-proggyclean-nerd 3.5.0-1
ttf-recursive-nerd 3.5.0-1
ttf-roboto-mono-nerd 3.5.0-1
ttf-sharetech-mono-nerd 3.5.0-1
ttf-sourcecodepro-nerd 3.5.0-1
ttf-space-mono-nerd 3.5.0-1
ttf-terminus-nerd 3.5.0-1
ttf-tinos-nerd 3.5.0-1
ttf-ubuntu-mono-nerd 3.5.0-1
ttf-ubuntu-nerd 3.5.0-1
ttf-victor-mono-nerd 3.5.0-1
ttf-zed-mono-nerd 3.5.0-1
xorg-fonts-encodings 1.1.0-2
